code,name,mainFoodType,detailedFoodType,calorie,protein,fat,carbohydrate,taste,mainIngredient,secondaryIngredient,cookMethod
D011370,베리 까망베르 치즈 케이크,빵류,케이크류,363,5,8,30,단맛,치즈,설탕,굽기
D012077,생크림 피칸 타르트,빵류,케이크류,410,11,8,30,단맛,견과류,피칸,굽기
D012279,쇼콜라 스퀘어,빵류,케이크류,370,4,8,30,단맛,초콜릿,밀가루,굽기
D013523,당근 현무암 케이크,빵류,케이크류,304,4,8,30,단맛,채소류,설탕,굽기
D013532,촉촉 초콜릿 생크림 케이크,빵류,케이크류,378,6,8,30,단맛,초콜릿,생크림,굽기
D012339,햄치즈 피아디나,빵류,기타 빵류,396,20.61,17.51527742,42.63572258,짠맛,밀가루,바질,굽기
D015070,갈릭 데니쉬식빵,빵류,식빵류,335,10,3,50,단맛,밀가루,버터,굽기
D015071,크로크무슈,빵류,샌드위치류,470,10,7.771428571,21.94285714,담백한맛,치즈,치즈,굽기
D015072,스위트콘 에그데니쉬,빵류,기타 빵류,487,14,17.51527742,42.63572258,단맛,계란,설탕,굽기
D012363,허니브레드+젤라또,빵류,기타 빵류,179.5,3.9,17.51527742,42.63572258,단맛,밀가루,설탕,굽기
D015074,초코칩 스콘,빵류,기타 빵류,508,8,15.75,47.775,단맛,밀가루,버터,굽기
D015075,크랜베리 스콘,빵류,기타 빵류,493,7,15.75,47.775,단맛,과일류,설탕,굽기
D015076,데니쉬 와플,빵류,기타 빵류,276,5,7.2,36,단맛,밀가루,바닐라,굽기
D015077,치즈 퐁듀 바게트볼,빵류,기타 빵류,442,10,27.5,46.25,담백한맛,치즈,마늘,굽기
D012364,애플 시나몬 허니 브레드,빵류,기타 빵류,282,0.3,17.51527742,42.63572258,단맛,밀가루,꿀,굽기
D015079,허니바게트볼,빵류,기타 빵류,488,9,28.6,48.1,단맛,밀가루,허니,굽기
D015080,머쉬룸 수프볼,빵류,기타 빵류,370,10,17.51527742,42.63572258,담백한맛,버섯류,양파,굽기
D015405,카스테라구마,빵류,케이크류,335,5,8,30,단맛,채소류,설탕,굽기
D012819,베이컨치즈스틱,빵류,기타 빵류,423,17,25.56,34.08,짠맛,밀가루,치즈,굽기
D015083,플레인 베이글&크림치즈,빵류,식빵류,366,13,1.5,53,담백한맛,치즈,크림치즈,굽기
D013472,DT_스콘 스틱,빵류,기타 빵류,400,5,14.4,43.68,단맛,밀가루,알 수 없음,굽기
D015171,콘 소시지,빵류,기타 빵류,905.9,12.8,17.51527742,42.63572258,단맛,채소류,소금,굽기
D013474,카카오 초콜릿 스콘,빵류,기타 빵류,480,5,15.45,46.865,단맛,밀가루,버터,굽기
D015173,콘 치즈,빵류,기타 빵류,505.4,7.7,17.51527742,42.63572258,단맛,채소류,치즈,굽기
D015174,슈크림 브레드,빵류,기타 빵류,90.5,12.4,17.51527742,42.63572258,단맛,밀가루,설탕,굽기
D013481,바게트 버터&잼,빵류,기타 빵류,299,5,22.66,38.11,단맛,밀가루,잼,굽기
D015176,크로크무슈,빵류,샌드위치류,1293,20,10.68571429,30.17142857,담백한맛,치즈,치즈,굽기
D015177,허니 갈릭 부기브레드,빵류,기타 빵류,492,9,17.51527742,42.63572258,단맛,밀가루,마늘,굽기
D015178,스윗 칠리 부기브레드,빵류,기타 빵류,470,8,17.51527742,42.63572258,단맛,밀가루,파프리카,굽기
D015180,미니 허니브레드 _ 플레인,빵류,기타 빵류,280.01,2.01,17.51527742,42.63572258,단맛,밀가루,꿀,굽기
D015181,미니 허니브레드 _ 초코,빵류,기타 빵류,288.04,2.03,17.51527742,42.63572258,단맛,초콜릿,초콜릿,굽기
D013484,올리브 베이컨 플랫 브레드,빵류,기타 빵류,400,4,17.51527742,42.63572258,짠맛,밀가루,베이컨,굽기
D013616,먹물치즈 라이스 비스코티,빵류,기타 빵류,305,7,17.51527742,42.63572258,단맛,밀가루,먹물,굽기
D015184,컬러 베이글,빵류,샌드위치류,161,6.3,1.5,53,담백한맛,밀가루,염료,굽기
D013676,할라피뇨 치즈 핫도그,빵류,기타 빵류,406,19,23.25,28.675,매운맛,밀가루,치즈,굽기
D015186,카야토스트,빵류,샌드위치류,501,20,4.322857143,12.20571429,단맛,밀가루,버터,굽기
D015187,블루베리 토스트,빵류,샌드위치류,514,8,4.614285714,13.02857143,단맛,과일류,버터,굽기
D015188,크림치즈 프레즐,빵류,페이스트리류,310,7,12.87,21.285,담백한맛,밀가루,버터,굽기
D015195,오리지널 핫도그,빵류,기타 빵류,292,14.3,21.45,26.455,짠맛,가금류 이외 육류,양파,굽기
D015196,어니언 핫도그,빵류,기타 빵류,359,14.3,23.4,28.86,단맛,밀가루,빵,굽기
D015197,렐리쉬 핫도그,빵류,기타 빵류,322,14.7,25.95,32.005,단맛,밀가루,양파,굽기
D015198,화이트 렐리쉬 핫도그,빵류,기타 빵류,342,16,26.7,32.93,단맛,밀가루,피클,굽기
D013926,메이플 넛 브레드,빵류,기타 빵류,824,18,17.51527742,42.63572258,단맛,밀가루,바닐라,굽기
D015200,시카고 핫도그,빵류,기타 빵류,305,14.7,27.15,33.485,짠맛,가금류 이외 육류,피클,굽기
D015201,칠리치즈 핫도그,빵류,기타 빵류,350,16.2,24.15,29.785,매운맛,밀가루,치즈,굽기
D014221,블루베리 초코칩 스콘,빵류,기타 빵류,485,7,21,67,단맛,밀가루,버터,굽기
D015203,페퍼로니 핫도그,빵류,기타 빵류,398,16.2,24.15,29.785,짠맛,가금류 이외 육류,치즈,굽기
D014949,갈릭치즈 허니브레드,빵류,기타 빵류,840,32,20,42.63572258,단맛,밀가루,청소년꿀,굽기
D015205,스파이스치킨 핫도그,빵류,기타 빵류,363,20.5,29.1,35.89,매운맛,커피,머스타드,굽기
D015206,치즈불고기 핫도그,빵류,기타 빵류,421,24.8,27.9,34.41,매운맛,치즈,빵,굽기
D015207,고르곤졸라 핫도그,빵류,기타 빵류,373,20.2,22.8,28.12,짠맛,밀가루,토마토,굽기
D015044,페퍼로니 치즈 바게트,빵류,기타 빵류,512,26,44,74,짠맛,밀가루,토마토소스,굽기
D015073,베이컨 에그 데니쉬,빵류,기타 빵류,485,15,17.51527742,42.63572258,담백한맛,밀가루,버터,굽기
D015264,미니츄러스 L,빵류,기타 빵류,266,6,17.51527742,42.63572258,단맛,밀가루,설탕,튀기기
D015269,크림치즈 프레즐,빵류,페이스트리류,250,7,12.87,21.285,단맛,치즈,버터,굽기
D015270,벨지움 와플,빵류,기타 빵류,346,6.1,7.5,37.5,단맛,밀가루,설탕,굽기
D015271,플레인 베이글,빵류,식빵류,317,12,1.5,53,담백한맛,밀가루,효모,굽기
D015272,콘덕(오리지널/체다치즈),빵류,기타 빵류,395,12.7,17.51527742,42.63572258,단맛,채소류,당근,굽기
D015274,흑당소보루,빵류,기타 빵류,295,6,17.51527742,42.63572258,단맛,당류,흑당,굽기
D015275,자꾸 생각나는 갈릭바게뜨,빵류,기타 빵류,200,3,17.51527742,42.63572258,단맛,채소류,마늘,굽기
D015276,쫄깃한 왕꽈배기,빵류,기타 빵류,410,6,17.51527742,42.63572258,단맛,밀가루,당근,굽기
D015277,흑당 가득 품은 호떡,빵류,기타 빵류,330,7,17.51527742,42.63572258,단맛,당류,흑당,굽기
D015278,베사멜버섯치즈빵,빵류,기타 빵류,175,6,17.51527742,42.63572258,단맛,버섯류,버터,굽기
D015279,새우감자봉,빵류,기타 빵류,360,6,17.51527742,42.63572258,담백한맛,해산물,빵가루,튀기기
D015280,썸머 초코바나나번,빵류,크림빵류,255,6,10.4,29.6,단맛,초콜릿,바나나,굽기
D015281,토종효모 참 고소한 곡물식빵,빵류,식빵류,310,9,3,50,담백한맛,밀가루,설탕,굽기
D015282,토종효모 호두브레드,빵류,기타 빵류,315,10,17.51527742,42.63572258,단맛,밀가루,설탕,굽기
D015283,강원도 찰옥수수소보루크림빵,빵류,크림빵류,315,5,10.4,29.6,단맛,채소류,밀가루,굽기
D015284,초코 왕소라빵 플러스,빵류,크림빵류,240,5,9.75,27.75,단맛,초콜릿,알 수 없음,굽기
D015285,미니 통밀후르츠 브레드,빵류,기타 빵류,320,8,17.51527742,42.63572258,단맛,밀가루,베리,굽기
D015286,토종효모 참깨브레드,빵류,기타 빵류,305,10,17.51527742,42.63572258,단맛,밀가루,물,굽기
D015078,초콜릿 카라멜 바게트볼,빵류,기타 빵류,545,10,32.34,54.39,단맛,밀가루,카라멜,굽기
D015288,달콤한 꿀도넛,빵류,도넛류,90,1,17,30,단맛,밀가루,설탕,튀기기
D015289,시나몬롤식빵,빵류,식빵류,415,6,3.24,54,단맛,향신료,버터,굽기
D015290,미니 올리브 브레드,빵류,기타 빵류,240,7,17.51527742,42.63572258,짠맛,채소류,효모,굽기
D015291,블루베리파이,빵류,기타 빵류,390,5,17.51527742,42.63572258,단맛,과일류,설탕,굽기
D015292,후레쉬크림샌드빵,빵류,크림빵류,455,9,16.25,46.25,단맛,밀가루,설탕,굽기
D015293,무설탕 멀티그레인 토스트,빵류,기타 빵류,305,11,4.8,13.7,담백한맛,곡물,소금,굽기
D015294,크림치즈시나몬롤,빵류,기타 빵류,430,10,17.51527742,42.63572258,단맛,밀가루,시나몬,굽기
D015295,골든스윗토스트,빵류,기타 빵류,290,8,4.8,13.7,단맛,밀가루,버터,굽기
D015296,꽃맛살고로케,빵류,기타 빵류,400,7,17.51527742,42.63572258,담백한맛,해산물,빵가루,튀기기
D015297,꿀슈크림빵,빵류,크림빵류,215,5,10.92,31.08,단맛,밀가루,밀가루,굽기
D015298,명품 잡채고로케,빵류,기타 빵류,400,7,17.51527742,42.63572258,단맛,면,고추장,튀기기
D015299,몬스터 치즈번,빵류,크림빵류,350,6,13,37,짠맛,치즈,버터,굽기
D015172,소시지 치즈 롤,빵류,기타 빵류,972.3,12.2,17.51527742,42.63572258,단맛,밀가루,빵가루,굽기
D015175,고구마 치즈 브레드,빵류,기타 빵류,289.4,13.5,3.44,32.68,단맛,밀가루,치즈,굽기
D015182,미니 허니브레드 _ 카라멜,빵류,기타 빵류,276.34,1.77,17.51527742,42.63572258,단맛,밀가루,알 수 없음,굽기
D015303,오리엔탈 치킨봉,빵류,기타 빵류,320,8,17.51527742,42.63572258,매운맛,가금류,마늘,굽기
D015304,토종효모 통밀가득 로만밀브레드,빵류,식빵류,335,9,3,50,담백한맛,밀가루,알 수 없음,굽기
D015305,크림치즈롤파이,빵류,기타 빵류,70,1,17.51527742,42.63572258,단맛,치즈,밀가루,굽기
D015306,모닝바게뜨,빵류,기타 빵류,250,9,17.51527742,42.63572258,단맛,밀가루,버터,굽기
D015307,미니크라상,빵류,페이스트리류,80,1,2.34,3.87,단맛,밀가루,버터,굽기
D015308,쫄깃한 토종효모빵,빵류,기타 빵류,305,8,17.51527742,42.63572258,단맛,밀가루,소금,굽기
D015309,옛날 왕슈크림도넛,빵류,도넛류,295,6,17,30,단맛,밀가루,설탕,튀기기
D015310,건포도 토종효모빵,빵류,기타 빵류,240,6,17.51527742,42.63572258,단맛,밀가루,설탕,굽기
D015311,토종효모 참 부드러운 생크림 식빵,빵류,식빵류,305,8,3,50,단맛,밀가루,효모,굽기
D015312,호밀호두빵(대),빵류,기타 빵류,255,7,17.51527742,42.63572258,단맛,견과류,호두,굽기
D015313,토종효모 건강한 로만밀 클래식,빵류,식빵류,285,9,3,50,담백한맛,밀가루,미각개선제,굽기
D015314,포켓샌드 사과,빵류,크림빵류,300,5,13,37,단맛,과일류,당분,굽기
D015315,토종효모 쫄깃한 토스트,빵류,식빵류,255,8,3,50,단맛,밀가루,버터,굽기
D017384,블루베리 크레이프 케익,빵류,케이크류,236,3,14,27,단맛,과일류,블루베리,굽기
D015317,쫄깃한 피자빵,빵류,기타 빵류,290,5,17.51527742,42.63572258,단맛,밀가루,치즈,굽기
D015318,뽀드득 그릴 소시지,빵류,기타 빵류,245,10,17.51527742,42.63572258,단맛,가금류 이외 육류,양파,굽기
D015319,치즈파니니,빵류,기타 빵류,235,6,17.51527742,42.63572258,담백한맛,치즈,토마토,굽기
D015320,촉촉함을 담은 쫄깃한 식빵,빵류,식빵류,240,7,2.58,43,단맛,밀가루,버터,굽기
D015321,담백하고 쫄깃한 뜯어먹는 식빵,빵류,식빵류,230,6,2.61,43.5,담백한맛,밀가루,버터,굽기
D015322,돌돌 말린 소시지도넛,빵류,도넛류,330,8,17,30,단맛,가금류 이외 육류,소금,튀기기
D015323,플레인 베이글,빵류,식빵류,220,6,1.5,53,담백한맛,밀가루,염,굽기
D015324,데니쉬식빵,빵류,식빵류,315,7,3.15,52.5,단맛,밀가루,버터,굽기
D015325,스위트 밀크식빵,빵류,식빵류,460,12,4.05,67.5,단맛,밀가루,설탕,굽기
D015326,모닝토스트,빵류,식빵류,375,8,3,50,담백한맛,밀가루,햄,굽기
D015327,야채빵,빵류,기타 빵류,205,6,17.51527742,42.63572258,단맛,채소류,효모,굽기
D015328,사각피자빵,빵류,기타 빵류,355,9,17.51527742,42.63572258,단맛,밀가루,치즈,굽기
D015329,찹쌀도넛,빵류,도넛류,300,5,17,30,단맛,쌀,설탕,튀기기
D015330,모찌모찌 치즈스틱,빵류,기타 빵류,105,1,5.4,7.2,단맛,치즈,브레드크럼,튀기기
D015331,크림치즈찹쌀도넛,빵류,도넛류,200,3,17,30,단맛,쌀,설탕,튀기기
D015332,아몬드모닝,빵류,페이스트리류,505,11,16.9,27.95,단맛,견과류,꿀,굽기
D015183,미니 허니브레드 _ 녹차,빵류,기타 빵류,270.1,1.8,17.51527742,42.63572258,단맛,밀가루,꿀,굽기
D015334,진도해풍맞은쑥빵,빵류,기타 빵류,192,5,17.51527742,42.63572258,담백한맛,채소류,소금,굽기
D015199,할리피뇨치즈 핫도그,빵류,기타 빵류,342,16,26.7,32.93,매운맛,밀가루,치즈,굽기
D015336,정통크라상,빵류,페이스트리류,235,4,6.89,11.395,단맛,밀가루,버터,굽기
D012097,뉴욕 치즈,빵류,케이크류,365,11,8,30,단맛,치즈,치즈,굽기
D015338,토종효모 그대로토스트,빵류,식빵류,325,8,3,50,담백한맛,밀가루,알 수 없음,굽기
D015339,강원도 옥수수로 만든 옥수수빵,빵류,기타 빵류,176,4,17.51527742,42.63572258,단맛,채소류,설탕,굽기
D015340,찹쌀페스츄리도넛,빵류,도넛류,280,3,17,30,단맛,쌀,설탕,튀기기
D015341,크림치즈곡물페스츄리,빵류,페이스트리류,240,5,7.8,12.9,단맛,치즈,밀가루,굽기
D015342,소시지조리빵,빵류,기타 빵류,260,9,17.51527742,42.63572258,단맛,가금류 이외 육류,버터,굽기
D015343,블루베리베이글,빵류,식빵류,210,5,1.5,53,단맛,과일류,설탕,굽기
D015344,꽈배기도넛,빵류,도넛류,245,4,17,30,단맛,밀가루,설탕,튀기기
D015345,치즈 인 치즈,빵류,기타 빵류,245,8,17.51527742,42.63572258,담백한맛,치즈,빵가루,굽기
D014350,핑크 베리 토르테,빵류,케이크류,345,5,9.419954338,39,단맛,과일류,딸기,굽기
D015347,통곡물브레드,빵류,기타 빵류,280,9,17.51527742,42.63572258,담백한맛,곡물,효모,굽기
D015348,토종효모 우리쌀 식빵,빵류,식빵류,185,6,2.1,35,담백한맛,쌀,소금,굽기
D015349,초코칩트위스트,빵류,페이스트리류,240,4,8.84,14.62,단맛,초콜릿,설탕,굽기
D015350,미니 통밀 후르츠 브레드,빵류,기타 빵류,320,8,17.51527742,42.63572258,단맛,밀가루,건포도,굽기
D015202,튜나마요 핫도그,빵류,기타 빵류,383,16.2,24.15,29.785,짠맛,밀가루,마요네즈,굽기
D015352,바게뜨,빵류,기타 빵류,145,5,17.51527742,42.63572258,단맛,밀가루,버터,굽기
D015353,미니찹쌀도넛,빵류,도넛류,130,2,17,30,단맛,쌀,설탕,튀기기
D015204,어니언링 핫도그,빵류,기타 빵류,515,16.7,29.85,36.815,단맛,밀가루,머스터드,튀기기
D015355,별난고구마찰스틱,빵류,기타 빵류,160,2,1,9.5,단맛,채소류,설탕,굽기
D015356,크로크무슈,빵류,샌드위치류,205,10,4.128571429,11.65714286,담백한맛,가금류 이외 육류,치즈,굽기
D015208,치킨텐더 핫도그,빵류,기타 빵류,330,13.4,26.1,32.19,담백한맛,밀가루,머스타드,튀기기
D015358,토종효모 옥수수 식빵,빵류,식빵류,275,9,3,50,단맛,채소류,소금,굽기
D015359,초코츄잉스타,빵류,기타 빵류,240,2,17.51527742,42.63572258,단맛,초콜릿,설탕,알 수 없음
D015360,미니초코칩트위스트,빵류,페이스트리류,55,1,1.95,3.225,단맛,밀가루,설탕,굽기
D015361,햄에그 고로케,빵류,기타 빵류,445,8,17.51527742,42.63572258,담백한맛,가금류 이외 육류,달걀,튀기기
D015362,초코소보루빵,빵류,기타 빵류,225,5,17.51527742,42.63572258,단맛,밀가루,설탕,굽기
D015363,목초란으로 만든 핑거스틱,빵류,기타 빵류,380,9,17.51527742,42.63572258,담백한맛,계란,빵가루,튀기기
D015364,추억의 소시지빵,빵류,기타 빵류,360,9,17.51527742,42.63572258,단맛,가금류 이외 육류,버터,굽기
D015365,쏘야고로케,빵류,기타 빵류,345,7,17.51527742,42.63572258,담백한맛,채소류,양파,튀기기
D015366,단팥크림 코팡,빵류,앙금빵류,230,5,3.4,44.2,단맛,곡물,알 수 없음,굽기
D015367,144겹 파이만주,빵류,앙금빵류,160,3,1.6,20.8,단맛,밀가루,초콜릿,알 수 없음
D015368,까망베르 치즈후레쉬번,빵류,기타 빵류,480,11,17.51527742,42.63572258,단맛,치즈,빵,굽기
D015369,치즈소시지페스츄리,빵류,페이스트리류,405,9,13.65,22.575,짠맛,치즈,양파,굽기
D015370,갈릭페스츄리식빵,빵류,식빵류,330,6,2.4,40,단맛,밀가루,마늘,굽기
D015371,부드러운 연유브레드,빵류,기타 빵류,315,6,17.51527742,42.63572258,단맛,유제품,설탕,굽기
D015372,딸기에 물든 치즈달,빵류,크림빵류,205,5,9.1,25.9,단맛,과일류,레몬즙,굽기
D015373,순수秀우유크림빵,빵류,크림빵류,190,5,10.4,29.6,단맛,유제품,우유,굽기
D015374,포켓샌드딸기요거티,빵류,크림빵류,275,5,10.4,29.6,단맛,과일류,요거트,굽기
D015375,포켓샌드 땅콩,빵류,크림빵류,285,6,10.4,29.6,단맛,곡물,땅콩,굽기
D015376,고구마건포도롤,빵류,기타 빵류,380,9,2.16,20.52,단맛,채소류,설탕,굽기
D015263,미니츄러스 S,빵류,기타 빵류,133,3,17.51527742,42.63572258,단맛,밀가루,설탕,튀기기
D015378,밤롤브레드,빵류,기타 빵류,275,7,17.51527742,42.63572258,단맛,채소류,버터,굽기
D015379,진한 초코브레드,빵류,기타 빵류,250,5,17.51527742,42.63572258,단맛,초콜릿,버터,굽기
D015380,커피번,빵류,기타 빵류,190,3,17.51527742,42.63572258,단맛,커피,설탕,굽기
D015381,쫀득쫀득한 찰깨빵,빵류,기타 빵류,205,2,17.51527742,42.63572258,단맛,곡물,설탕,굽기
D015382,우리찹쌀 모카 찰떡빵,빵류,기타 빵류,185,5,17.51527742,42.63572258,단맛,쌀,커피,굽기
D015383,구름크림빵,빵류,크림빵류,230,4,7.8,22.2,단맛,밀가루,설탕,굽기
D015384,모카빵,빵류,기타 빵류,245,5,17.51527742,42.63572258,단맛,커피,시나몬,굽기
D015385,초코소라빵,빵류,크림빵류,160,3,6.5,18.5,단맛,초콜릿,소라,굽기
D015386,땅콩크림빵,빵류,크림빵류,330,7,11.05,31.45,단맛,곡물,설탕,굽기
D015387,모카크림빵,빵류,크림빵류,250,4,8.45,24.05,단맛,밀가루,설탕,굽기
D015388,한입에두번반한 단팥크림빵,빵류,크림빵류,255,4,10.4,29.6,단맛,곡물,설탕,굽기
D015389,단팥빵,빵류,앙금빵류,275,8,4.4,57.2,단맛,곡물,설탕,굽기
D015390,소보루빵,빵류,기타 빵류,330,7,17.51527742,42.63572258,단맛,밀가루,설탕,굽기
D015391,골든 크림 메론빵,빵류,크림빵류,320,5,13,37,단맛,과일류,설탕,굽기
D015392,순수(秀) 우유 후레쉬번,빵류,기타 빵류,580,11,17.51527742,42.63572258,단맛,유제품,알 수 없음,알 수 없음
D015393,맘모스브레드,빵류,기타 빵류,405,8,22,44,단맛,밀가루,효모,굽기
D015394,구운부추만두빵,빵류,기타 빵류,220,7,17.51527742,42.63572258,담백한맛,채소류,부추,굽기
D015395,단팥빵 플러스,빵류,앙금빵류,310,8,5,65,단맛,곡물,설탕,굽기
D015396,쫄깃한 곡물 호떡,빵류,기타 빵류,320,8,17.51527742,42.63572258,단맛,곡물,설탕,굽기
D015397,상큼한 크림빵,빵류,크림빵류,255,4,9.1,25.9,단맛,밀가루,레몬즙,굽기
D015398,화이트 치즈볼,빵류,기타 빵류,125,2,2.1,2.8,단맛,치즈,빵가루,튀기기
D018301,롤케이크,빵류,케이크류,311.94,7.36,11.83,44.01,단맛,밀가루,설탕,굽기
D015400,슈크림빵,빵류,크림빵류,230,6,10.92,31.08,단맛,밀가루,슈크림,굽기
D015401,완두앙금빵,빵류,앙금빵류,245,6,3.8,49.4,단맛,곡물,설탕,굽기
D015402,찹쌀앙금빵,빵류,앙금빵류,290,6,3.4,44.2,단맛,쌀,설탕,굽기
D015403,코코넛 초코볼,빵류,기타 빵류,110,1,17.51527742,42.63572258,단맛,과일류,설탕,굽기
D015404,쫄깃한 찰떡맘모스,빵류,기타 빵류,275,5,16,32,단맛,쌀,알 수 없음,찌기
D018310,생크림케이크,빵류,케이크류,237.09,3.45,12.54,27.62,단맛,유제품,바닐라,굽기
D000302,초콜릿케이크,빵류,케이크류,420.24,5.31,24.96,43.6,단맛,초콜릿,설탕,굽기
D000303,치즈케이크,빵류,케이크류,329.14,7.23,20.63,28.64,단맛,치즈,바닐라추출물,굽기
D011372,홍차 케이크,빵류,케이크류,267,3,8,30,단맛,차류,버터,굽기
D011373,오렌지 케이크,빵류,케이크류,296,3,8,30,단맛,과일류,오렌지즙,굽기
D012281,레몬 크레이프,빵류,케이크류,215,6,8,30,신맛,과일류,설탕,굽기
D015302,쫄깃한 토종효모빵(미니),빵류,기타 빵류,220,6,17.51527742,42.63572258,단맛,밀가루,알 수 없음,굽기
D013537,세븐 레이어 가나슈 케이크,빵류,케이크류,425,5,8,30,단맛,초콜릿,초콜릿,굽기
D015377,크림치즈호두빵,빵류,기타 빵류,295,8,17.51527742,42.63572258,단맛,밀가루,호두,굽기
D015523,쉬림프 토마토 포카챠,빵류,기타 빵류,340,15,17.51527742,42.63572258,담백한맛,밀가루,올리브유,굽기
D013540,크레이프 에멘탈 치즈 케이크,빵류,케이크류,330,5,8,30,단맛,치즈,바닐라,굽기
D013541,피칸 브라우니,빵류,케이크류,465,4,8,30,단맛,견과류,설탕,굽기
D013542,헤븐리 티라미수,빵류,케이크류,236,2,8,30,단맛,치즈,에스프레소,굽기
D014242,밀크레이프,빵류,케이크류,287.96,7.88,17.32,25.14,단맛,유제품,설탕,굽기
D014243,티라미수 크레이프,빵류,케이크류,304.87,7.8,19.63,24.25,단맛,밀가루,설탕,굽기
D015300,찰진 호박 찜케익,빵류,케이크류,300,4,8,30,단맛,채소류,소금,굽기
D015316,그린티 본델리슈,빵류,케이크류,280,7,8,30,단맛,차류,백설탕,굽기
D016498,치킨 머쉬룸 플랫브레드,빵류,기타 빵류,425,26,17.51527742,42.63572258,담백한맛,밀가루,버섯,굽기
D015408,상큼한 청포도 케이크,빵류,케이크류,305,3,8,30,단맛,과일류,청포도,굽기
D015410,바스크 치즈케이크,빵류,케이크류,305,7,8,30,단맛,치즈,바닐라,굽기
D015411,리얼캐롯,빵류,케이크류,360,4,8,30,단맛,채소류,당근,굽기
D015413,진한 가나슈 쇼콜라 케이크,빵류,케이크류,370,5,8,30,단맛,초콜릿,버터,굽기
D015415,진한 가나슈 쇼콜라,빵류,케이크류,365,5,8,30,단맛,초콜릿,버터,굽기
D015416,진한 마스카포네 티라미수,빵류,케이크류,170,3,8,30,단맛,치즈,에스프레소,굽기
D015418,리얼캐롯 케이크,빵류,케이크류,360,4,8,30,단맛,채소류,호두,굽기
D016626,초코호두 브리오쉬,빵류,기타 빵류,365,7,17.51527742,42.63572258,단맛,밀가루,홀그랜트,굽기
D015423,스트로벨벳치즈케이크,빵류,케이크류,305,11,8,30,단맛,치즈,크림치즈,굽기
D016636,베리베리 건강브레드 (대),빵류,기타 빵류,280,7,17.51527742,42.63572258,담백한맛,밀가루,통밀가루,굽기
D015433,스트로베리 서프라이즈,빵류,케이크류,255,3,8,30,단맛,과일류,바닐라,알 수 없음
D015435,순수秀우유케이크,빵류,케이크류,300,4,8,30,단맛,유제품,설탕,굽기
D016641,라우겐(2개입),빵류,기타 빵류,430,13,17.51527742,42.63572258,담백한맛,밀가루,미치광어,굽기
D015438,가나슈 조각케이크,빵류,케이크류,355,4,8,30,단맛,초콜릿,버터,굽기
D015440,치즈가 반한 티라미수,빵류,케이크류,280,5,8,30,단맛,치즈,코코아,굽기
D016642,흑심 품은 맘모스 (대),빵류,기타 빵류,1075,25,62,124,단맛,밀가루,맘모스뿔,굽기
D016667,호두 연유 바게트,빵류,기타 빵류,750,18,46.86,78.81,단맛,밀가루,버터,굽기
D015445,블루베리요거트 듬뿍,빵류,케이크류,308,4,8,30,단맛,과일류,블루베리,무치기
D015446,티라미수 오리지날레,빵류,케이크류,350,6,8,30,단맛,치즈,커피,무치기
D015448,가나슈생크림 조각케이크,빵류,케이크류,330,4,8,30,단맛,초콜릿,설탕,굽기
D015449,초코앤화이트마블쉬폰,빵류,케이크류,320,4,8,30,단맛,초콜릿,바닐라추출물,굽기
D015451,촉촉하고부드러운초코쉬폰,빵류,케이크류,310,4,8,30,단맛,초콜릿,설탕,굽기
D016682,낙엽소시지브레드,빵류,기타 빵류,360,13,17.51527742,42.63572258,단맛,밀가루,소시지,굽기
D015458,베리베리 생크림 조각케이크,빵류,케이크류,280,4,8,30,단맛,유제품,크림,굽기
D015463,행복해 티라미수케이크,빵류,케이크류,307,5,8,30,단맛,치즈,초콜릿,굽기
D016697,크랜베리애플크림치즈,빵류,기타 빵류,240,5,17.51527742,42.63572258,단맛,밀가루,사과,굽기
D015467,미니치즈케이크,빵류,케이크류,293,6,8,30,단맛,치즈,바닐라추출물,굽기
D015469,밤&자색고구마케이크,빵류,케이크류,235,4,8,30,단맛,채소류,설탕,굽기
D015471,고구마케이크,빵류,케이크류,225,2,8,30,단맛,채소류,설탕,굽기
D016700,잡곡고구마찹쌀브레드,빵류,기타 빵류,695,16,5.12,48.64,단맛,밀가루,효모,굽기
D016762,블랙올리브치즈브레드,빵류,기타 빵류,255,8,17.51527742,42.63572258,단맛,밀가루,버터,굽기
D016775,치즈듬뿍 순꿀꽃,빵류,기타 빵류,540,22,17.51527742,42.63572258,단맛,밀가루,꿀,알 수 없음
D016776,소시지카레양파빵,빵류,기타 빵류,335,13,17.51527742,42.63572258,단맛,밀가루,물,굽기
D015478,바나나 속 깜짝 초코,빵류,케이크류,395,4,8,30,단맛,과일류,초콜릿,굽기
D016782,트윈에그브레드,빵류,기타 빵류,250,11,17.51527742,42.63572258,담백한맛,밀가루,치즈,굽기
D016783,피자토스트,빵류,기타 빵류,245,11,4.848,13.837,단맛,밀가루,치즈,굽기
D016785,폭신폭신모닝롤,빵류,기타 빵류,750,19,17.51527742,42.63572258,단맛,밀가루,쌀가루,굽기
D017002,바베큐 치킨마요 롤피자,빵류,기타 빵류,575,17,17.51527742,42.63572258,단맛,밀가루,마요네즈,굽기
D015485,리얼 쁘띠 블루베리 쉬폰,빵류,케이크류,205,3,8,30,단맛,과일류,블루베리,굽기
D015486,시간의정성 진(眞)카스테라,빵류,케이크류,270,6,8,30,단맛,계란,설탕,굽기
D015489,포도 카스텔라,빵류,케이크류,320,6,8,30,단맛,과일류,설탕,굽기
